BPI,TeamName
-7.8,The Citadel
-7.8,North Carolina A&T
-7.9,Sacramento State
-8.0,Sacred Heart
-8.1,North Florida
-8.1,Central Connecticut
-8.1,UMKC
-8.2,Kennesaw State
-8.2,Grambling
-8.3,San Jose State
-8.3,East Carolina
-8.4,Savannah State
-8.4,Detroit Mercy
-8.6,Norfolk State
-8.7,Texas A&M-CC
-8.7,Charlotte
-8.8,Rice
-9.0,Youngstown State
-9.0,Southern
-9.0,Stetson
-9.0,SIU-Edwardsville
-9.2,Jacksonville
-9.3,Morgan State
-9.7,Marist
-9.8,Cal Poly
-10.1,American
-10.1,Houston Baptist
-10.2,Presbyterian
-10.3,Maine
-10.4,Arkansas-Pine Bluff
-11.0,VMI
-11.1,CS Northridge
-11.7,Incarnate Word
-11.9,Howard
-12.1,Jackson State
-12.3,Alcorn State
-12.9,South Carolina Upstate
-13.3,Alabama State
-13.3,Bryant
-13.3,Florida A&M
-13.5,Longwood
-13.9,Northern Arizona
-14.5,South Carolina State
-15.6,Coppin State
-16.3,Northwestern State
-16.4,Chicago State
-16.5,Mississippi Valley State
-17.9,Delaware State
-19.1,Alabama A&M
-19.5,Maryland-Eastern Shore
